openalex_id,doi,title,phrase,year,adjudication
W7160859207,10.1002/wjs.70416,Safety and Feasibility of Early Laparoscopic Cholecystectomy in High‐Risk Acute Cholecystitis: A Critical Evaluation of Tokyo Guidelines 2018 Risk Stratification,as an AI language model,2026.0,true_artifact
W4403430051,10.2196/53505,The Dual Nature of AI in Information Dissemination: Ethical Considerations,as an AI language model,2024.0,filter_miss_ai_subject
W4400658796,10.1007/s43681-024-00513-7,The ethics of personalised digital duplicates: a minimally viable permissibility principle,"as a large language model, I",2024.0,filter_miss_ai_subject
W4407115846,10.1080/0142159x.2025.2459361,Clinical learning environments: Updates,as an AI language model,2025.0,true_artifact
W4387602412,10.3389/fmed.2023.1279707,Integrating AI in medical education: embracing ethical usage and critical understanding,as an AI language model,2023.0,filter_miss_ai_subject
W7125911411,10.3390/jcm15031043,Umbilical Cord Biomarkers of Nutritional and Metabolic Status in Neonates with Intrauterine Growth Restriction,as an AI language model,2026.0,true_artifact
W4412358218,10.1007/s00146-025-02465-w,When machines take over: professional chess as a model case for the societal impact of superhuman AI,as an AI language model,2025.0,filter_miss_ai_subject
W7117532318,10.1080/09592318.2025.2604802,The anatomy of victory in irregular warfare: a multidimensional framework for command,as an AI language model,2025.0,true_artifact
W7155167728,10.1007/s44366-026-0086-y,Evaluating the Efficacy of a Multifaceted Prompt for Use with LLMs to Evaluate Course Project Reports,as an AI language model,2026.0,unclear
W7135019656,10.1016/j.ajo.2026.03.007,Spherical Equivalent Refraction Versus Axial Length for Monitoring Childhood Myopia and Estimating Disease Risk: A Systematic Review and Meta-Analysis,as an AI language model,2026.0,true_artifact
W4410139218,10.3389/fvets.2025.1506272,Gaining insights into pet owner understanding/lived experience of canine chronic kidney disease using survey and social media data,as an AI language model,2025.0,true_artifact
W7125523111,10.3390/su18031145,Innovation for Sustainable SMEs: How Financial Health Drives Resilience and Long-Term Performance in a Transition Economy,as an AI language model,2026.0,true_artifact
W4413641297,10.3390/jcm14176039,Glymphopathy and Reduced Processing Speed in Community-Dwelling Adults with Silent Cerebral Small Vessel Disease: A DTI-ALPS Study,as an AI language model,2025.0,true_artifact
W4415303521,10.1002/pra2.1339,Generative <scp>AI</scp> Use at the <scp>iSchools</scp> : An Analysis of Policies,as an AI language model,2025.0,filter_miss_ai_subject
W4393284298,10.4236/jss.2024.123025,Social Media Use Effects on Self-Cognition and Behavior Patterns under the Network Environment,as an AI language model,2024.0,true_artifact
W4412864499,10.1101/2025.07.30.25330817,Peptide receptor radionuclide therapy targeting the cholecystokinin-2 receptor: Preclinical and first clinical experience in small cell lung cancer,as an AI language model,2025.0,true_artifact
W4415098936,10.1002/wwp2.70038,Leveraging Grok in Water Resource Management,as an AI language model,2025.0,filter_miss_ai_subject
W4412644850,10.1007/s40123-025-01213-z,Assessment of Relationship between Neovascularization Type Using Wide Field Optical Coherence Tomography Angiography in Eyes with Proliferative Diabetic Retinopathy,as an AI language model,2025.0,true_artifact
W4391646383,10.4103/aian.aian_837_23,External Validation and Updating of Published Models for Predicting 7-day Risk of Symptomatic Intracranial Hemorrhage after Receiving Alteplase for Acute Ischemic Stroke: A Retrospective Cohort Study,as an AI language model,2024.0,true_artifact
W7143532615,10.1080/14737175.2026.2652294,"Preferences, tailoring, and self-tailoring in internet-delivered treatments: lessons learned",as an AI language model,2026.0,true_artifact
W4399303504,10.1080/03057240.2024.2342274,Metachangemaking: An interdisciplinary synthesis of research on cultivating changemakers,as an AI language model,2024.0,true_artifact
W4407610596,10.1080/08039488.2025.2464634,The experience of individuals filmed for pornography production: a history of continuous polyvictimization and ongoing mental health challenges,as an AI language model,2025.0,true_artifact
W4414324840,10.3389/fpubh.2025.1654786,Study protocol: post-harvest losses of fruits and vegetables and their relationship with the nutritional status of women and children,as an AI language model,2025.0,true_artifact
W4393081680,10.31234/osf.io/4gxtk,Attributions toward Artificial Agents in a modified Moral Turing Test,as an AI language model,2024.0,filter_miss_ai_subject
W4416032751,10.1080/09540121.2025.2584603,"“It’s not just HIV anymore”: A qualitative exploration of health, research, community and mental health priorities of long-term survivors of HIV in the United States",as an AI language model,2025.0,true_artifact
W4388931722,10.1093/oso/9780197615546.003.0005,The Context Imperative,as an AI language model,2023.0,filter_miss_ai_subject
W4405740853,10.1016/j.ijfatigue.2024.108777,Fatigue life prediction for PBF-LB Ti6A14V with as-built surface under nonproportional loads using an incremental fatigue damage model,as an AI language model,2024.0,true_artifact
W4390628466,10.1515/9783111351490-025,Lernende Maschinen und die Zukunft der Öffentlichkeit,as an AI language model,2024.0,filter_miss_ai_subject
W4388303467,10.1007/s11739-023-03447-w,Quantitative research assessment: using metrics against gamed metrics,as an AI language model,2023.0,true_artifact
W4409823765,10.1177/19467567251330218,Making and Unmaking Pluriversal Privacy,as an AI language model,2025.0,true_artifact
W4389856317,10.36866/pn.132.36,Meeting Report: Drowning Prevention and Treatment Online Summit,as an AI language model,2023.0,unclear
W4410590941,10.1002/epi4.70066,Ambient technology in epilepsy clinical practice,as an AI language model,2025.0,filter_miss_ai_subject
W4398179098,10.22323/2.23030703,Theatre about science. Theory and practice,as an AI language model,2024.0,true_artifact
W4416556240,10.1007/s00146-025-02763-3,Knowledge without a knower? Domain analysis in the age of machinic interpretation,as an AI language model,2025.0,filter_miss_ai_subject
W4406860835,10.18203/2349-3291.ijcp20250100,Comparative study about early full versus conventional partial enteral feeding in preterm new-born infants of 28-34 weeks,as an AI language model,2025.0,true_artifact
W4412035070,10.15181/rfds.v46i2.2732,Factors of Purchasing Behaviour and Transformations in Market Equilibrium,as an AI language model,2025.0,true_artifact
W4404867474,10.46632/cellrm/2/4/3,An SPSS Analysis of the Effects of OTT Platforms on Youth,as an AI language model,2023.0,true_artifact
W7160103360,10.29333/ejmste/18503,Philosophical and critical perspectives of integrating AI into STEM curriculum design: Opportunities and challenges in African educational contexts,as an AI language model,2026.0,filter_miss_ai_subject
W7124944575,10.3390/jcm15020819,Appendectomy During Pregnancy and the Risk of Preterm Birth: A Systematic Review of Contemporary Clinical Studies,as an AI language model,2026.0,true_artifact
W4404386205,10.1177/24741264241297936,Serpiginous Choroiditis After COVID-19 Infection,as an AI language model,2024.0,true_artifact
W4405605317,10.1097/ms9.0000000000002816,Metaplastic breast carcinoma: a rare and aggressive entity,as an AI language model,2024.0,true_artifact
W4413258535,10.1007/s40487-025-00371-1,Sequential Fibroblast Growth Factor Receptor Inhibition in Intrahepatic Cholangiocarcinoma: Navigating an Evolving Landscape of Resistance and Opportunity—A Case Report and Current Opinion,as an AI language model,2025.0,true_artifact
W7160835414,10.1007/s42973-026-00258-4,Demographic challenges and economic stagnation in Japan,as an AI language model,2026.0,true_artifact
W7167937531,10.1016/j.inat.2026.102322,Destructive lumbosacral clear cell meningioma mimicking malignant vertebral tumor: Case report and review of the literature,as an AI language model,2026.0,true_artifact
W4396561961,10.1007/s42452-024-05895-1,Critical assessment of the lattice Boltzmann method for cavitation modelling based on single bubble dynamics,as an AI developed by OpenAI,2024.0,true_artifact
W7202283647,10.3389/feduc.2026.1890429,From evaluation to empowerment: non-directive coaching supervision as a catalyst for school leadership development,as an AI language model,2026.0,true_artifact
W4379231973,10.7759/cureus.39867,The Tribal Health System in India: Challenges in Healthcare Delivery in Comparison to the Global Healthcare Systems,as an AI language model,2023.0,true_artifact
W4414349567,10.3390/medicina61091712,Prognostic Significance of Peritumoral and Intratumoral Lymphatic Vessels Density in Clinically Node-Negative (cN0) Oral Squamous Cell Carcinoma: A Preliminary Report,as an AI language model,2025.0,true_artifact
W7160495867,10.3389/fgene.2026.1776779,Genetic determinants of age-related macular degeneration in Middle Eastern populations: a systematic review,as an AI language model,2026.0,true_artifact
W4406716053,10.1017/als.2024.29,The Transmutation of Sovereignty: Digital “World of Warcraft” and Innovation in the Chinese Legal Order,as an AI language model,2024.0,true_artifact
W4407296913,10.3390/microorganisms13020373,The Global Trends and Advances in Oral Microbiome Research on Oral Squamous Cell Carcinoma: A Systematic Review,as an AI language model,2025.0,true_artifact
W4411582721,10.3390/horticulturae11070732,Plant–Microbe Interactions for Improving Postharvest Shelf Life and Quality of Fresh Produce Through Protective Mechanisms,as an AI language model,2025.0,true_artifact
W4390902110,10.61838/kman.najm.1.1.3,Retrospective Analysis of Haematological Abnormalities in Older Diabetic Patients with COVID-19,as an AI language model,2023.0,true_artifact
W4415988765,10.2139/ssrn.5584131,Can AI Match Professional Analysts? Evidence from a Multi-Agent System,as an AI language model,2025.0,filter_miss_ai_subject
W4413826963,10.3390/diagnostics15172194,Continuous Wearable-Sensor Monitoring After Colorectal Surgery: A Systematic Review of Clinical Outcomes and Predictive Analytics,as an AI language model,2025.0,true_artifact
W4406528772,10.1177/07067437241312683,Limitations and Future Directions in Pharmacological Treatment for Amphetamine-Type Stimulant Use Disorder,as an AI language model,2025.0,true_artifact
W4401245461,10.14763/2024.3.1790,General-purpose AI regulation and the European Union AI Act,as an AI language model,2024.0,filter_miss_ai_subject
W4405657026,10.1016/j.ceramint.2024.12.356,Innovations for brushite cements toward applications in bone regeneration and drug delivery,as an AI language model,2024.0,true_artifact
W4390947319,10.1111/joms.13033,Organizations as Algorithms: A New Metaphor for Advancing Management Theory,as an AI language model,2024.0,filter_miss_ai_subject
W4402829308,10.1016/j.rvsc.2024.105423,RNA-sequencing transcriptomic analysis of scrapie-exposed ovine mesenchymal stem cells,as an AI language model,2024.0,true_artifact
W4392519941,10.53762/alnasr.03.01.e06,Pakistan and Global Economy,as of my last knowledge update,2024.0,true_artifact
W4411165086,10.20944/preprints202506.0805.v1,"Exploring the Relationship Between Sleep Disturbance, Psychosocial Stress, Socioeconomic Status on Self-Perceived Mental Health Among Aging Adults in the United States",as an AI language model,2025.0,true_artifact
W4399619478,10.1016/j.heliyon.2024.e32949,Elucidating the mechano-molecular dynamics of TRAP activity using CRISPR/Cas9 mediated fluorescent reporter mice,as an AI language model,2024.0,true_artifact
W4414240196,10.4103/indianjpsychiatry_433_25,Cannabis and psychopathology: A 2024 snapshot – Examining the complexities of diagnostic stability in cannabis-induced psychosis,as an AI language model,2025.0,true_artifact
W4405646853,10.7759/cureus.76059,Assessing the Impact of Early Nutritional Intervention on Pediatric Celiac Disease Management: A Prospective Cohort Study,as an AI language model,2024.0,true_artifact
W4412571953,10.3390/jcm14155191,"A Systematic Review of Closed-Incision Negative-Pressure Wound Therapy for Hepato-Pancreato-Biliary Surgery: Updated Evidence, Context, and Clinical Implications",as an AI language model,2025.0,true_artifact
W7165931839,10.1016/j.jconrel.2026.115131,Impact of hydrophobic ion pair type and self-nanoemulsifying drug delivery systems composition on the oral delivery of salmon calcitonin,as an AI language model,2026.0,true_artifact
W4410450753,10.1186/s40468-025-00361-0,Developing a CEFR-based diagnostic test to assess Japanese university students’ productive knowledge of lexical bundles,as an AI language model,2025.0,true_artifact
W4413893960,10.1101/2025.08.27.672399,Sex-Dependent Vulnerability to PTSD-Like Behaviors in iNOS Knockout Mice,as an AI language model,2025.0,true_artifact
W4410945380,10.20944/preprints202505.2277.v2,The Elusive Genesis: Stochasticity and the Challenge of Reconstructing Viral Origins,as an AI language model,2025.0,true_artifact
W7140207618,10.1017/eec.2025.10038,Integrating machine behavior into human subject experiments: a user-friendly toolkit and an application to framed prisoner’s dilemmas,as an AI language model,2025.0,filter_miss_ai_subject
W4413640666,10.1055/s-0045-1811193,Cervical Cancer Awareness and Screening Practices Among Women in Benghazi: A Cross-Sectional Study (2023),as an AI language model,2025.0,true_artifact
W4393316745,10.1007/s10462-024-10731-4,Machine learning heralding a new development phase in molecular dynamics simulations,as an AI language model,2024.0,filter_miss_ai_subject
W7131104775,10.7238/artnodes.v0i38.432962,La voz es falsa: mediación técnica y expectativas de autenticidad en Landgren y Abu Hamdan,as an AI language model,2026.0,true_artifact
W4417050956,10.3390/forecast7040072,Carbon Trading Price Forecasting Based on Multidimensional News Text and Decomposition–Ensemble Model: The Case Study of China’s Pilot Regions,as an AI language model,2025.0,filter_miss_ai_subject
W4416688102,10.17645/up.10578,"Sustainable Heritage Buildings: The Impact on Heritage Values, Energy Performance, and CO2 Emissions",as an AI language model,2025.0,true_artifact
W7155525289,10.7759/cureus.107617,Evaluation of Immediate Changes in Reaction Time Following Bhramari Pranayama Among Young Adults: A Prospective Study,as an AI language model,2026.0,true_artifact
W4392764290,10.1007/s00784-024-05587-5,Performance of a commercially available Generative Pre-trained Transformer (GPT) in describing radiolucent lesions in panoramic radiographs and establishing differential diagnoses,as an AI language model,2024.0,filter_miss_ai_subject
W4392241155,10.3390/languages9030078,Enhancing Language Learners’ Comprehensibility through Automated Analysis of Pause Positions and Syllable Prominence,as an AI language model,2024.0,filter_miss_ai_subject
W4415089370,10.1080/02699931.2025.2568551,Affective connotations according to LLMs: implications for meaning measurement and cultural bias,as an AI language model,2025.0,filter_miss_ai_subject
W4401538921,10.1057/s41599-024-03499-z,"FEW questions, many answers: using machine learning to assess how students connect food–energy–water (FEW) concepts",as an AI language model,2024.0,filter_miss_ai_subject
W7162772284,10.32388/mrlnys.3,Neurodegeneration as Convergent Three-Pathway Failure: A Unified Framework for Alzheimer’s &amp; Related Dementias,as an AI language model,2026.0,true_artifact
W7165565369,10.63501/hrm56e02,"Digital PCR versus Quantitative PCR in Diagnostic Pathology: Principles, Clinical Applications, Validation, and Practical Workflow Recommendations — A Comparative Review",as an AI language model,2026.0,true_artifact
W7128524272,10.9779/pauefd.1574813,Yazma Becerilerinin Değerlendirilmesinde Yapay Zekâ ve Öğretim Görevlisi Puanlamalarının Karşılaştırılması,as an AI language model,2026.0,filter_miss_ai_subject
W7119531833,10.1016/j.xplc.2026.101711,Sustainable bioenergy manufacturing in plants,as an AI language model,2026.0,true_artifact
W4415658499,10.1063/5.0283450,Data integration and data fusion approaches in self-driving labs: A perspective,as an AI language model,2025.0,filter_miss_ai_subject
