openalex_id,doi,title,phrase,year,field,type,abstract
W4416066310,10.30935/cedtech/17406,"AI and higher education: Understanding faculty roles in teaching, research, and administration",as an AI language model,2025.0,Medicine,article,"The rapid advancement of artificial intelligence (AI) is transforming higher education, impacting pedagogical practices, administrative processes, and faculty engagement with technology. While AI holds promise to enhance learning and streamlining operations, its adoption remains complex and debated. This study examines faculty perceptions of AI integration, focusing on factors such as teaching experience, institutional context, and disciplinary specialization. Using a quantitative survey, the research explores AI engagement across institutions and disciplines, analyzing how demographic factors influence adoption. Findings suggest that junior faculty and those in technology-driven environments demonstrate higher AI confidence and adoption, whereas senior faculty engage in AI leadership yet express skepticism about its pedagogical applications. Disciplinary differences reveal that faculty in content-based fields view AI as a teaching tool, while those in applied disciplines utilize it more strategically for administrative and leadership functions. The study also addresses ethical and institutional challenges, including concerns over data privacy, algorithmic bias, and institutional readiness. By identifying these barriers, the research highlights strategies for fostering AI literacy, professional development, and ethical implementation in higher education. This study contributes to the discourse on AI in academia by presenting an educator-centered perspective, bridging the gap between technological advancement and pedagogical practice. The findings provide academic leaders and policymakers with insights on creating AI-inclusive environments that align with faculty needs, uphold ethical standards, and enhance student learning outcomes."
W4412676423,10.1080/1369118x.2025.2537803,Governance of discriminatory content in conversational AIs: a cross-platform and cross-cultural analysis,"as a large language model, I",2025.0,Social Sciences,article,"As the widespread adoption of conversational artificial intelligence (AI) systems has raised concerns about social bias, especially towards vulnerable groups, this study explores how these systems respond to and regulate discriminatory content. Through a cross-lingual, cross-platform comparative analysis, this study systematically examines six leading conversational AI systems: ChatGPT, Gemini, Llama, Ernie Bot, ChatGLM, and Tongyi. Using a mixed-method approach, the study reveals that refusal sensitivity and answering strategies vary significantly across systems, languages, and topics. This paper provides new insights into the moderation strategies of conversational AI systems and introduces a framework for auditing AI content moderation concerning social discrimination."
W7141278922,10.1007/s00339-026-09533-y,Improving functional properties in Cr2O3 thin films through annealing: a route toward sustainable materials engineering,as an AI language model,2026.0,Chemistry,article,"Abstract Cr 2 O 3 thin films were deposited by DC magnetron sputtering under varying oxygen flow rates to investigate the influence of oxygen content and annealing effect on their structural and electronic properties. XRD and Raman confirmed pure phase Cr 2 O 3 with improved crystallinity and reduced lattice strain after annealing. XPS analysis indicated predominant Cr³⁺ states with oxygen defects that decreased upon annealing, showing chemical stability. The Schottky diode current-voltage analysis demonstrated rectification, with thermionic emission and Norde models confirming reduced ideality factor, series resistance, and a stabilized barrier height (~ 0.78 eV). The Mott-Gurney space charge limited conduction model was used to determine mobility and trap density in the deposited films. Dielectric studies revealed that the thermal annealing suppressed polarization, lowered the dielectric loss, enhanced the AC conductivity and reduced Nyquist arc diameters."
W4401285217,10.62476/ndi82261,"ARCHITECTURAL KNOWLEDGE: LACKING A KNOWLEDGE SYSTEM, THE PROFESSION REJECTS HEALING ENVIRONMENTS THAT PROMOTE HEALTH AND WELL-BEING",as an AI language model,2024.0,Environmental Science,article,"Results collected from outside the discipline coalesce into a knowledge system for architecture. Increasingly, this information does not come from the usual historical, philosophical and social sources, but instead from AI, biology, mathematics and neuroscience. This body of discovered and tested knowledge remains outside dominant architectural culture. Several distinct methods of data gathering necessary for adaptive design are reviewed here. Cumulative findings — from design patterns, eye tracking and visual attention scans, information compression via mathematical symmetries, physiological indicators, software trained on artificial intelligence, AI language models and user surveys — reinforce each other. They reveal that traditional architectural design concepts and methods generate a significantly healthier environment than what architectural practice offers. The analogy of an “expert system” is suggested as a means of incorporating the collected results into current practice. Curricular changes are needed to cover this material in schools, especially the understanding of architectural knowledge. Nevertheless, as any change threatens the architecture-industrial complex, this proposal faces strong resistance from both academia and the profession. Society must drastically revise architecture to promote human health and well-being directly."
W7160859207,10.1002/wjs.70416,Safety and Feasibility of Early Laparoscopic Cholecystectomy in High‐Risk Acute Cholecystitis: A Critical Evaluation of Tokyo Guidelines 2018 Risk Stratification,as an AI language model,2026.0,Medicine,article,"AIM: This study evaluated the safety and appropriateness of early laparoscopic cholecystectomy (LapC) for acute cholecystitis classified as high-risk according to the Tokyo Guidelines 2018 (TG18). METHODS: We retrospectively analyzed 126 patients who underwent early LapC between January 2023 and August 2024. Patients were classified into high-risk (n = 67) and low-risk (n = 59) groups based on TG18 criteria. Primary endpoints were in-hospital mortality and major complications (Clavien-Dindo ≥ IIIa). RESULTS: No in-hospital mortality occurred. Major complications were observed in seven patients (5.6%) with no significant difference between groups (6.0% vs. 5.1%, p = 0.467). Grade 3 cholecystitis was independently associated with overall complications (adjusted OR 3.12, 95% CI 1.03-21.47, p = 0.046). Among Grade 1-2 cases, neither age-adjusted Charlson Comorbidity Index (AA-CCI) nor American Society of Anesthesiologists Physical Status (ASA-PS) correlated with complications, whereas higher preoperative C-reactive protein was an independent predictor (adjusted OR 1.05, 95% CI 1.00-1.10, p = 0.037). CONCLUSION: In our single-center experience, early LapC was safely performed in TG18-defined high-risk patients with Grade 1-2 cholecystitis. Traditional static risk indicators (AA-CCI, ASA-PS) showed limited predictive value in our cohort, whereas dynamic inflammatory markers such as CRP showed potential for risk assessment, though further validation is needed."
W4403430051,10.2196/53505,The Dual Nature of AI in Information Dissemination: Ethical Considerations,as an AI language model,2024.0,Social Sciences,article,"Infodemics pose significant dangers to public health and to the societal fabric, as the spread of misinformation can have far-reaching consequences. While artificial intelligence (AI) systems have the potential to craft compelling and valuable information campaigns with positive repercussions for public health and democracy, concerns have arisen regarding the potential use of AI systems to generate convincing disinformation. The consequences of this dual nature of AI, capable of both illuminating and obscuring the information landscape, are complex and multifaceted. We contend that the rapid integration of AI into society demands a comprehensive understanding of its ethical implications and the development of strategies to harness its potential for the greater good while mitigating harm. Thus, in this paper we explore the ethical dimensions of AI's role in information dissemination and impact on public health, arguing that potential strategies to deal with AI and disinformation encompass generating regulated and transparent data sets used to train AI models, regulating content outputs, and promoting information literacy."
W4400658796,10.1007/s43681-024-00513-7,The ethics of personalised digital duplicates: a minimally viable permissibility principle,"as a large language model, I",2024.0,Social Sciences,article,"Abstract With recent technological advances, it is possible to create personalised digital duplicates. These are partial, at least semi-autonomous, recreations of real people in digital form. Should such duplicates be created? When can they be used? This article develops a general framework for thinking about the ethics of digital duplicates. It starts by clarifying the object of inquiry– digital duplicates themselves– defining them, giving examples, and justifying the focus on them rather than other kinds of artificial being. It then identifies a set of generic harms and benefits associated with digital duplicates and uses this as the basis for formulating a minimally viable permissible principle (MVPP) that stipulates widely agreeable conditions that should be met in order for the creation and use of digital duplicates to be ethically permissible. It concludes by assessing whether it is possible for those conditions to be met in practice, and whether it is possible for the use of digital duplicates to be more or less permissible."
W4407115846,10.1080/0142159x.2025.2459361,Clinical learning environments: Updates,as an AI language model,2025.0,Medicine,article,"Academic exploration of the Clinical Learning Environment (CLE) has evolved over time. In 2009, Asch et al. drew a direct connection between the CLE, training outcomes, and patient care, highlighting the importance of the CLE and inspiring further research in this domain. With a growing body of evidence articulating its significance, several organizations were prompted to publish conceptualizations of the CLE as a discrete concept, such that its components may be measured and thus improved upon. Since then, it has become increasingly clear that the CLE is not an isolated entity; it is continuously molded by external pressures including the intensifying polarizations within our global society and the political ramifications of these divides. And yet, the nuances of how these external forces influence our CLE, including how we should, or should not, adapt to accommodate them, has not yet been explicitly captured. In this commentary we will summarize the academic history of CLE, review how the shifting global landscape has influenced the CLE, and propose a way forward. As a professional community, we must understand the impact of these external factors such that we may proactively adapt and ensure quality training outcomes and positive outcomes for our patients."
W4387602412,10.3389/fmed.2023.1279707,Integrating AI in medical education: embracing ethical usage and critical understanding,as an AI language model,2023.0,Medicine,article,"OPINION article Front. Med., 13 October 2023Sec. Healthcare Professions Education Volume 10 - 2023 | https://doi.org/10.3389/fmed.2023.1279707"
W7125911411,10.3390/jcm15031043,Umbilical Cord Biomarkers of Nutritional and Metabolic Status in Neonates with Intrauterine Growth Restriction,as an AI language model,2026.0,Nursing,article,"Background: Intrauterine Growth Restriction (IUGR) is associated with a distinct neonatal metabolic profile, attributable to chronic intrauterine nutritional deprivation and suboptimal placental nutrient exchange. Upon delivery, IUGR neonates typically present with depleted nutrient stores, dysregulated endocrine activity, and a spectrum of micronutrient deficiencies, factors that collectively compromise metabolic homeostasis and significantly influence subsequent health trajectories. Methods: This narrative review systematically synthesizes the current body of evidence from clinical, biochemical, and translational investigations pertaining to the micronutrient status and pivotal endocrine markers in neonates affected by intrauterine growth restriction. The collected findings were integrated to elucidate metabolic adaptation mechanisms, immediate clinical ramifications, and the potential pathways linking neonatal biochemical patterns to long-term metabolic programming. Results: IUGR neonates consistently exhibit reduced cord-blood concentrations of essential micronutrients, including vitamin D, iron (Fe), zinc (Zn), magnesium (Mg), folate (vitamin B9), and cobalamin (vitamin B12), reflecting compromised placental nutrient transfer and limited fetal reserves. Concomitantly, endocrine alterations—most notably reduced insulin (INS) and C-peptide (C-pep) levels—indicate suppressed pancreatic β-cell activity and a prevailing hypoanabolic adaptive state. In parallel, disturbances in mineral metabolism, characterized by lower calcium (Ca) concentrations and increased alkaline phosphatase (ALP) activity, suggest impaired bone mineralization during the critical phase of early postnatal adaptation. Collectively, these biochemical patterns increase vulnerability to early clinical complications such as neonatal hypoglycemia and bone demineralization, disrupt early growth trajectories, and are associated with an elevated long-term risk of insulin resistance and adverse cardiomet"
W4412358218,10.1007/s00146-025-02465-w,When machines take over: professional chess as a model case for the societal impact of superhuman AI,as an AI language model,2025.0,Social Sciences,article,"Abstract Once emblematic of human intellectual mastery, chess has become a domain where machines not only surpass human ability but fundamentally reshape the practice’s social dynamics, meanings, and power structures. This paper examines the transformative impact of superhuman AI on professional chess, positioning it as an analytical model case for understanding AI’s broader societal implications. Drawing on a corpus of 271 h of transcribed chess commentary, the analysis traces the shift from symbolic AI to deep learning systems, and the consequent reconfiguration of chess as a social practice. The study explores how this transformation alters the game’s meaning, redistributes authority, reshapes power relations, and creates new social roles through AI’s integration. These insights foreshadow challenges for fields, such as medicine or law, where AI’s ascendancy may similarly redistribute authority, redefine purpose, and reshape agency."
W7117532318,10.1080/09592318.2025.2604802,The anatomy of victory in irregular warfare: a multidimensional framework for command,as an AI language model,2025.0,Social Sciences,article,"Defining victory in contemporary irregular warfare is an elusive strategic problem, as traditional metrics based on battlefield outcomes are insufficient in conflicts characterized by ambiguity, asymmetry, and the centrality of the information environment. To address this analytical gap, this article proposes and applies a new multidimensional framework : the model of victory, which posits that success is a function of five interconnected variables: achievement of political aims, degradation of adversary capabilities, internal and external legitimacy, post-conflict sustainability, and narrative resilience. Applying this model to the prolonged internal war in Colombia as well as the hybrid conflict between India and Pakistan, the analysis demonstrates that shaping the narrative often acts as the central variable, enabling actors to manage the conflict and claim victory, regardless of material outcomes. The article further argues that the centrality of narrative creates new paradoxes for command related to transparency, the use of kinetic force, and the fulfillment of political mandates. The framework ultimately provides a more holistic tool for scholars and practitioners to analyze the complex anatomy of victory in the information age."
W7155167728,10.1007/s44366-026-0086-y,Evaluating the Efficacy of a Multifaceted Prompt for Use with LLMs to Evaluate Course Project Reports,as an AI language model,2026.0,Social Sciences,article,
W7135019656,10.1016/j.ajo.2026.03.007,Spherical Equivalent Refraction Versus Axial Length for Monitoring Childhood Myopia and Estimating Disease Risk: A Systematic Review and Meta-Analysis,as an AI language model,2026.0,Medicine,review,"TOPIC: To determine the relative merits of spherical equivalent refraction (SER) vs axial length (AL) as the primary measure for monitoring childhood myopia progression and predicting adult myopia-related pathology. CLINICAL RELEVANCE: Myopia prevalence is rising worldwide, but most patients only reach low-to-moderate myopia. Many guidelines emphasize AL over SER using fixed thresholds to define ``high risk'' (eg, ≥26 mm), yet a large proportion of myopia-related pathology occurs in eyes that never reach those lengths. METHODS: We conducted a systematic review and meta-analysis of population-based observational studies (≥200 eyes; PubMed and Embase searched from 1990 to July 2025) reporting AL and/or SER with demographics and/or retinal, cataract, or primary open-angle glaucoma (POAG) outcomes. Random effects meta-analyses with Hartung-Knapp adjustment were performed when k ≥ 3; other results were synthesized descriptively. Risk of bias was assessed with the Newcastle-Ottawa Scale and certainty of evidence with Grading of Recommendations Assessment, Development and Evaluation. RESULTS: Seventy studies met inclusion criteria. Normal AL varied strongly with age, sex, height, and ethnicity, whereas SER showed much weaker dependence. A small tail of emmetropes reached AL ≥26 mm. Retinal pathology rose steeply with longer AL (odds ratio [OR] 3.85 per +1 mm), implying risk ratio ≈25 at AL 26 mm relative to AL 23.6 mm (pooled gradient), but this long-eye threshold applied to <10% of eyes. SER data, although less frequent, showed consistent retinal risk increases with OR ≈1.5 to 1.8 per -1 diopter and OR 2 to 12 for high myopia. For cataract prevalence, SER-defined moderate/high myopia yielded ORs of 3.09 for nuclear and 4.58 for posterior subcapsular cataract, whereas AL-defined effects were null or modest. For POAG prevalence, AL per +1 mm showed OR 1.37, whereas SER-defined moderate/high myopia showed OR 2.95. Certainty of evidence was moderate for prevalence analyses an"
W4410139218,10.3389/fvets.2025.1506272,Gaining insights into pet owner understanding/lived experience of canine chronic kidney disease using survey and social media data,as an AI language model,2025.0,"Biochemistry, Genetics and Molecular Biology",article,"Introduction Chronic kidney disease (CKD) is a common and progressive condition in dogs characterized by irreversible damage to one or both kidneys over an extended period leading to gradual decline in kidney function. Early diagnosis is crucial to improve quality of life and increase survival through medical interventions. Methods This study investigated pet owner understanding of this condition using insights gained by comparing pet owner survey responses with bulk harvested social media discussions on canine CKD. We combined structured survey data ( n = 132) with social media analysis spanning multiple platforms to understand owner perceptions of disease characteristics, clinical sign reporting, and pet owner experiences. Results Both data sources highlighted increased urination and water consumption as primary pet owner concerns, with these clinical signs showing moderate positive correlation (Pearson correlation coefficient of r = 0.66). Although not explicitly investigated within the survey, social media data demonstrated pain as a significant concerning clinical sign and revealed the emotional toll of end-of-life care considerations. Further analysis also demonstrated significant associations between CKD diagnosis in dogs and both animal age ( p &amp;lt; 0.001) and female gender ( p = 0.006), while breed group and weight showed no significant correlations. Discussion The complementary nature of structured surveys and social media analysis provided richer understanding of pet owner experiences, understanding and management of CKD. This combined methodological approach offers a model for investigating other chronic conditions in veterinary medicine."
W7125523111,10.3390/su18031145,Innovation for Sustainable SMEs: How Financial Health Drives Resilience and Long-Term Performance in a Transition Economy,as an AI language model,2026.0,"Business, Management and Accounting",article,"Small- and medium-sized enterprises (SMEs) are central to sustainable development in transition economies, yet their financial fragility often limits resilience and the capacity to invest in innovation and responsible practices. Despite growing interest in SME, financial health and its role in sustainability, empirical evidence from small transition economies like Montenegro remains scarce, particularly on how liquidity and profitability dynamics underpin conditions for SDG-aligned growth. This study addresses this gap by analyzing how core financial indicators—cash position, capital structure, and working capital efficiency—affect liquidity and profitability among 345 Montenegrin SMEs across manufacturing, services, and trade. Using OLS and robust regression models, results reveal that a higher cash-to-revenue ratio and moderate leverage significantly enhance both short-term solvency and profitability, while working capital efficiency shows nuanced effects and sector-specific patterns emerge in capital-intensive industries. These findings highlight financial management as a foundation for SME resilience, creating financial preconditions for innovation and digital investments in aligned with SDGs (goals 8, 9, 12). Policy recommendations focus on improving finance access and financial literacy to foster innovation-driven, sustainable SME models aligned with the 2030 Agenda."
W4413641297,10.3390/jcm14176039,Glymphopathy and Reduced Processing Speed in Community-Dwelling Adults with Silent Cerebral Small Vessel Disease: A DTI-ALPS Study,as an AI language model,2025.0,Neuroscience,article,"Background/Objectives: Cerebral small vessel disease (CSVD) often manifests as enlarged perivascular spaces (ePVS), which are linked to reduced processing speed even in asymptomatic individuals. Glymphatic dysfunction (or glymphopathy) has been proposed as a mechanism underlying ePVS, with the diffusion tensor image analysis along the perivascular space (DTI-ALPS) index serving as a potential non-invasive surrogate marker. This study aimed to examine the association between DTI-ALPS index, ePVS burden, and processing speed in community-dwelling adults without overt neurological symptoms, stratified by QRISK3 cardio-cerebrovascular risk prediction score. Methods: Sixty young-to-middle-aged adults (aged 25–65 years), classified as low-to-moderate QRISK3 scores, underwent brain 3T diffusion magnetic resonance imaging (MRI) to evaluate ePVS burden and calculate DTI-ALPS indices. Processing speed index (PSI) was assessed using the Wechsler Adult Intelligence Scale—Version IV (WAIS-IV). Results: Approximately 43% of subjects reported having ePVS with significantly lower DTI-ALPS indices and PSI compared to those without ePVS. The DTI-ALPS index was inversely correlated with ePVS burden and positively correlated with PSI. Mediation analysis showed that the lower DTI-ALPS partially mediated the association between ePVS burden and slower processing speed. Conclusions: Visible ePVS in our cohort may reflect early glymphopathy and subtle cognitive slowing, while the DTI-ALPS index may serve as an early biomarker for preclinical CSVD-related cognitive vulnerability, supporting targeted prevention strategies."
